Rk,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
64,Raúl Albiol,DF,Villarreal,es La Liga,37.0,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.4,0.8,1.3,8.0,62.0,0.0,0.0,0.04,0.04,0.0,0.04,0.02,0.04,0.06,0.02,0.06
2741,Aaron Wan-Bissaka,DF,Manchester Utd,eng Premier League,25.0,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,1.5,1.6,30.0,77.0,54.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.08,0.01,0.08
2740,Sebastian Walukiewicz,DF,Empoli,it Serie A,23.0,27,23,2055,22.8,0,0,0,0,0,0,6,0,0.1,0.1,0.2,14.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
2739,Kyle Walker,DF,Manchester City,eng Premier League,33.0,32,30,2767,30.7,0,4,4,0,0,0,2,0,0.4,2.6,3.0,74.0,157.0,172.0,0.0,0.13,0.13,0.0,0.13,0.01,0.09,0.1,0.01,0.1
68,Omar Alderete,DF,Getafe,es La Liga,26.0,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.0,2.2,23.0,98.0,9.0,0.0,0.04,0.04,0.0,0.04,0.05,0.04,0.09,0.05,0.09
2734,Stefan de Vrij,DF,Inter,it Serie A,31.0,25,17,1586,17.6,1,0,1,1,0,0,0,0,0.6,0.3,0.9,6.0,43.0,2.0,0.06,0.0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05
2730,Mërgim Vojvoda,DF,Torino,it Serie A,28.0,28,15,1379,15.3,0,3,3,0,0,0,3,0,0.4,1.4,1.8,30.0,91.0,72.0,0.0,0.2,0.2,0.0,0.2,0.02,0.09,0.12,0.02,0.12
71,Trent Alexander-Arnold,DF,Liverpool,eng Premier League,24.0,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,7.2,9.5,45.0,205.0,97.0,0.13,0.17,0.29,0.13,0.29,0.11,0.3,0.41,0.1,0.4
2729,Kevin Vogt,DF,Union Berlin,de Bundesliga,31.0,16,16,1323,14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.1,1.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2728,Kevin Vogt,DF,Hoffenheim,de Bundesliga,31.0,16,14,1319,14.7,0,0,0,0,0,0,2,0,0.7,0.1,0.8,16.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
2727,Alessandro Vogliacco,DF,Genoa,it Serie A,24.0,20,14,1169,13.0,0,1,1,0,0,0,4,0,0.4,0.5,0.9,8.0,49.0,12.0,0.0,0.08,0.08,0.0,0.08,0.03,0.04,0.07,0.03,0.07
